path,status,note,commit_sha
assets/images/advanced-excel-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/advanced-java-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ai-tools-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/android-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/angular-course-jaipur-forsk-coding-school (2).webp,skipped,old URL not detected,
assets/images/angular-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/api-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/automation-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/aws-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/azure-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/big-data-java-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/c-plus-plus-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/c-programming-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/c-sharp-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ccna-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ccnp-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ceh-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/content-marketing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/core-java-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): forsk.in,3fc50b75b4f0e2e09b0a61b59ed10affdc9d0542
assets/images/cyber-security-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/data-analytics-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/data-science-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/digital-marketing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-cloud-computing-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-cyber-security-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-data-analytics-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-data-science-ai-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-digital-marketing-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-full-stack-development-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-java-programming-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-programs-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/diploma-python-programming-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/docker-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/dotnet-full-stack-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www.forsk.in,74552ca5a61d60260d1ac492f99ba5a350fa499f
assets/images/email-marketing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ethical-hacking-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/figma-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/flutter-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/full-stack-development-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www.forsk.in,bb9c9e1907c48f1c3a4798c2431f6f443a97f77b
assets/images/generative-ai-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/google-ads-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/google-cloud-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/graphic-design-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/hadoop-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/helidon-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/hibernate-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/internship-programs-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ios-app-development-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/java-courses-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/java-design-patterns-course-jaipur-forsk-coding-school.webp.webp,skipped,old URL not detected,
assets/images/java-full-stack-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www-forsk.in,d108209b7068a14479567f04ed2e342bc05b1819
assets/images/java-interview-preparation-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/java-microservices-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/java-rest-api-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/java-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/javascript-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/jdbc-course-jaipur-forsk-coding-school (2).webp,skipped,old URL not detected,
assets/images/jdbc-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/kafka-java-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/kotlin-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/kubernetes-course-jaipur-forsk-coding-school (2).webp,skipped,old URL not detected,
assets/images/kubernetes-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/linux-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/machine-learning-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/manual-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/mean-stack-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/mern-stack-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/mobile-app-development-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/network-security-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/networking-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/node-js-course-jaipur-forsk-coding-school (2).webp,fixed,replaced 1 occurrence(s): forsk.in,d032d5cb5dee356436532d897ac4304876bb3ba1
assets/images/node-js-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): forsk.in,f413a1abf88e5aeee31ecdfff6647e7fcb9f279a
assets/images/other-it-courses-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/penetration-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/personality-development-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/php-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www.forsk.in,edff9a9d2bbc386483f9d0dbe4191d285c43676c
assets/images/playwright-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/power-bi-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www.forsk.in,b1059991e259573eb787dd068b8e6bd69f5bfd98
assets/images/python-programming-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/react-native-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/selenium-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/seo-course-jaipur-forsk-coding-school.webp,fixed,replaced 1 occurrence(s): www.forsk.in,bb3a483663802b9eeab4028ef437f05d97862042
assets/images/servlets-jsp-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/soc-analyst-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/social-media-marketing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/software-testing-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/spring-framework-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/spring-mvc-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/sql-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/ui-ux-design-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
assets/images/windows-server-course-jaipur-forsk-coding-school.webp,skipped,old URL not detected,
